timestamp,X,Y,Z,obs_id
1596643704232,0.122595,-0.111309,-0.008831,0
1596643704410,0.121308,-0.103975,-0.010757,0
1596643704441,0.121297,-0.103110,-0.008543,0
1596643704472,0.119051,-0.107362,-0.013953,0
1596643704500,0.117310,-0.109831,-0.016761,0
1596643704533,0.118778,-0.108974,-0.015243,0
1596643704564,0.119160,-0.107370,-0.013806,0
1596643704594,0.118823,-0.111080,-0.019364,0
1596643704623,0.117094,-0.112748,-0.021671,0
1596643704653,0.119692,-0.109167,-0.016301,0
1596643704684,0.119490,-0.108118,-0.015640,0
1596643704726,0.119309,-0.109374,-0.016905,0
1596643704758,0.119176,-0.109840,-0.017561,0
1596643704791,0.116948,-0.112333,-0.020323,0
1596643704821,0.117948,-0.113649,-0.022185,0
1596643704854,0.115885,-0.114196,-0.022468,0
1596643704886,0.118632,-0.109997,-0.017139,0
1596643704917,0.118336,-0.112634,-0.021327,0
1596643704949,0.117422,-0.111870,-0.020454,0
1596643704981,0.116395,-0.115237,-0.020898,0
1596643705014,0.116909,-0.110154,-0.013918,0
1596643705045,0.116706,-0.110115,-0.014121,0
1596643705078,0.118528,-0.108669,-0.012767,0
1596643705127,0.117086,-0.114490,-0.021130,0
1596643705160,0.119626,-0.112763,-0.020735,0
1596643705190,0.121515,-0.115107,-0.025241,0
1596643705222,0.123791,-0.111931,-0.022633,0
1596643705255,0.121957,-0.114295,-0.025401,0
1596643705284,0.120911,-0.116702,-0.027428,0
1596643705317,0.121777,-0.115226,-0.025987,0
1596643705349,0.121105,-0.117398,-0.028531,0
1596643705381,0.123804,-0.111764,-0.022236,0
1596643705415,0.123548,-0.113289,-0.024800,0
1596643705447,0.124058,-0.112949,-0.023340,0
1596643705479,0.121651,-0.113091,-0.023770,0
1596643705527,0.123383,-0.113059,-0.025057,0
1596643705558,0.122616,-0.112603,-0.022800,0
1596643705590,0.120188,-0.116367,-0.027771,0
1596643705621,0.119343,-0.120805,-0.032802,0
1596643705654,0.116606,-0.113009,-0.021532,0
1596643705684,0.115394,-0.119375,-0.030623,0
1596643705717,0.115467,-0.111807,-0.021412,0
1596643705750,0.115010,-0.116722,-0.025190,0
1596643705783,0.117397,-0.120124,-0.031379,0
1596643705813,0.115197,-0.121006,-0.030669,0
1596643705847,0.117380,-0.119826,-0.030669,0
1596643705879,0.115225,-0.114350,-0.024704,0
1596643705936,0.117525,-0.115880,-0.026311,0
1596643705988,0.118851,-0.121091,-0.033509,0
1596643706020,0.119351,-0.121141,-0.034131,0
1596643706050,0.116443,-0.115498,-0.024982,0
1596643706079,0.116889,-0.116028,-0.026769,0
1596643706111,0.119059,-0.122133,-0.033847,0
1596643706141,0.116983,-0.121719,-0.032296,0
1596643706172,0.122241,-0.116560,-0.027134,0
